inner_index,index,row_desc,row_id,eng,rus,LEN,RESTRICT,,
1,1129,Menu_Move_Basic_01,ME_NEW_00002,Walk,Ходьба,4,6,,
2,1132,Menu_Move_Basic_02,ME_NEW_00003,Dash,Рывок,4,5,,
3,1135,Menu_Move_Basic_03,ME_NEW_00004,Sidestep,Отскок,8,6,,
4,1138,Menu_Move_Basic_04,ME_NEW_00005,Fast attack,Быстрый удар,11,12,,
5,1141,Menu_Move_Basic_05,ME_NEW_00006,Strong attack,Мощный удар,13,11,,
6,1144,Menu_Move_Basic_06,ME_NEW_00007,Fast ender attack,Быстрый коронный,17,16,,
7,1147,Menu_Move_Basic_07,ME_NEW_00008,Strong ender attack,Сильный похоронный,19,18,,
8,1150,Menu_Move_Basic_08,ME_NEW_00009,String attack,Двоечка,13,7,,
9,1153,Menu_Move_Basic_09,ME_NEW_00010,Jump,Прыжок,4,6,,
10,1156,Menu_Move_Basic_10,ME_NEW_00011,Jump attack,Удар в прыжке,11,13,,
11,1159,Menu_Move_Basic_11,ME_NEW_00012,Dash jump attack,Удар с рывком в прыжке,16,22,,
12,1162,Menu_Move_Basic_12,ME_NEW_00013,Block,Блок,5,4,,
13,1165,Menu_Move_Basic_13,ME_NEW_00014,Taunt,Издёвка,5,7,,
14,1168,Menu_Move_Basic_14,ME_NEW_00015,Pick up object,Подобрать предмет,14,17,,
15,1171,Menu_Move_Basic_15,ME_NEW_00016,Strike with object,Ударить предметом,18,17,,
16,1174,Menu_Move_Basic_16,ME_NEW_00017,Throw object,Бросить предмет,12,15,,
17,1177,Menu_Move_Basic_17,ME_NEW_00018,Catch object,Словить предмет,12,15,,
18,1180,Menu_Move_Basic_18,ME_NEW_00019,Pummel,Месилово,6,8,,
19,1183,Menu_Move_Basic_19,ME_NEW_00020,Striker attack,Подмога,14,7,,
20,1186,Menu_Move_Basic_20,ME_NEW_00021,Super attack,Суперудар,12,9,,
21,1189,Menu_Move_Advanced_01,ME_NEW_00022,Low attack,Нижний удар,10,11,,
22,1192,Menu_Move_Advanced_02,ME_NEW_00023,Back attack,Удар назад,11,10,,
23,1195,Menu_Move_Advanced_03,ME_NEW_00024,Head stomp,Втоптать,10,8,,
24,1198,Menu_Move_Advanced_04,ME_NEW_00025,Spin attack,Круговой удар,11,13,,
25,1201,Menu_Move_Advanced_05,ME_NEW_00026,Dash attack A,Удар в рывке A,13,14,,
26,1204,Menu_Move_Advanced_06,ME_NEW_00027,Dash attack B,Удар в рывке B,13,14,,
27,1207,Menu_Move_Advanced_07,ME_NEW_00028,Judo throw,Бросок дзюдо,10,12,,
28,1210,Menu_Move_Advanced_08,ME_NEW_00029,Grapple combo,Комбо с захватом,13,16,,
29,1213,Menu_Move_Advanced_09,ME_NEW_00030,Ground and pound,Вали-колоти,16,11,,
30,1216,Menu_Move_Advanced_10,ME_NEW_00031,Evade,Уклонение,5,9,,
31,1219,Menu_Move_Advanced_11,ME_NEW_00032,Air recovery,Вскочить,12,8,,
32,1222,Menu_Move_Advanced_12,ME_NEW_00033,Reversal,Контрудар,8,9,,
